type,id,slug,url,title,title_len,desc,desc_len,canonical,robots,h1,words
posts,273,sandy-flood-vicitms,https://californiafloodinsurance.com/sandy-flood-vicitms/,Obama signs bill for Sandy Flood Insurance vicitms - California Flood Insurance,79,"President Obamahas signed into law a $9.7 billion bill to pay flood insurance claims from Superstorm Sandy. The law increases the borrowing authority of the Federal Emergency Management Agency. FEMA had warned that it was set to run out of money without additional dollars from Congress. The White House said more than 100,000 flood claim",338,https://californiafloodinsurance.com/sandy-flood-vicitms/,max-image-preview:large,Obama signs bill for Sandy Flood Insurance vicitms,153
posts,255,thousands-recommended-flood-insurance-sacramento,https://californiafloodinsurance.com/thousands-recommended-flood-insurance-sacramento/,Thousands go without recommended flood insurance in Sacramento - California Flood Insurance,91,Thousands go without Flood Insurance This is from 2010 but the story is the same. Too many will risk going without coverage for flood insurance until its too late. Try our lower rates today. We have private insurance carriers that offer better rates than the National Flood Insurance program. its quick and easy.. just fill,323,https://californiafloodinsurance.com/thousands-recommended-flood-insurance-sacramento/,max-image-preview:large,Thousands go without recommended flood insurance in Sacramento,100
posts,242496,understanding-base-flood-elevation-bfe,https://californiafloodinsurance.com/understanding-base-flood-elevation-bfe/,Base Flood Elevation (BFE): A California Homeowner's Guide,58,"What is base flood elevation? Learn how BFE is measured, why your Elevation Certificate matters, and how your home's height vs. BFE drives California rates.",156,https://californiafloodinsurance.com/understanding-base-flood-elevation-bfe/,max-image-preview:large,What Is Base Flood Elevation (BFE)?,1672
posts,462,valet-parking-flood-zone,https://californiafloodinsurance.com/valet-parking-flood-zone/,Valet Parking in Flood Zone - California Flood Insurance,56,Not sure what this is exactly supposed to be but thought it was pretty funny. Maybe not so funny if your car in parked in the ocean..,133,https://californiafloodinsurance.com/valet-parking-flood-zone/,max-image-preview:large,Valet Parking in Flood Zone,53
posts,242581,what-does-flood-insurance-not-cover,https://californiafloodinsurance.com/what-does-flood-insurance-not-cover/,What Does Flood Insurance Not Cover? (2026 Guide),49,"What does flood insurance not cover? See key NFIP exclusions—living expenses, basements, pools, vehicles—and how private flood policies close the gaps in CA.",157,https://californiafloodinsurance.com/what-does-flood-insurance-not-cover/,max-image-preview:large,What Does Flood Insurance Not Cover?,1511
posts,242569,when-is-flood-insurance-required,https://californiafloodinsurance.com/when-is-flood-insurance-required/,When Is Flood Insurance Required? CA Rules (2026),49,"When is flood insurance required in California? With a federally backed mortgage on a high-risk SFHA home, it's mandatory. See the rules and exceptions.",152,https://californiafloodinsurance.com/when-is-flood-insurance-required/,max-image-preview:large,When Is Flood Insurance Required in California?,1645
posts,242588,which-flood-zone-requires-flood-insurance,https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/,Which Flood Zone Requires Flood Insurance? (CA Guide),53,"Which flood zone requires flood insurance? FEMA zones A, AE, AH, AO, V, and VE require coverage with a federal mortgage. See the full California zone breakdown.",160,https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/,max-image-preview:large,Which Flood Zone Requires Flood Insurance?,1696
posts,305,why-are-you-paying-for-everyones-flood-insurance,https://californiafloodinsurance.com/why-are-you-paying-for-everyones-flood-insurance/,Why are you paying for everyones flood insurance? - California Flood Insurance,78,You and I are paying for everyones Flood Insurance Premiums..really you are!,76,https://californiafloodinsurance.com/why-are-you-paying-for-everyones-flood-insurance/,max-image-preview:large,Why are you paying for everyones flood insurance?,73
posts,131,why-flood-insurance-can-be-costly-if-you-dont-have-it,https://californiafloodinsurance.com/why-flood-insurance-can-be-costly-if-you-dont-have-it/,Why Flood insurance Can Be Costly If You Don’t Have It - California Flood Insurance,83,"If you have Homeowner’s Insurance or do not live near a river body, you might think you are protected from floods. However, according to the Federal Emergency Management Agency report, every home is at the risk of flooding. In fact, about 25 percent of flood damages occur in low to moderate risk zones. Floods have",315,https://californiafloodinsurance.com/why-flood-insurance-can-be-costly-if-you-dont-have-it/,max-image-preview:large,Why Flood insurance Can Be Costly If You Don’t Have It,532
posts,482,why-more-homeowners-should-buy-flood-insurance,https://californiafloodinsurance.com/why-more-homeowners-should-buy-flood-insurance/,Why more homeowners should buy flood insurance - California Flood Insurance,75,"For many folks in Texas, hurricane season started early. Last week severe rain storms unleashed a torrent of water that triggered flash floods, causing rivers to swell over their banks, flooding homes and businesses. According to reports, over 1,400 homes and as many as 4,000 properties were damaged by flooding caused by those recent storms.",343,https://californiafloodinsurance.com/why-more-homeowners-should-buy-flood-insurance/,max-image-preview:large,Why more homeowners should buy flood insurance,125
